PID,task_no,bug,condition,time_minutes,correct,passes_original_tests,fix_site_same,think_correct,evaluated_patch,think_patch_correct,would_submit,Kaia's notes
P26,1,math63,control,25.21,N,N,,N,,,N,"Did not ask them if they would submit. HOWEVER, they did not make any edits whatsover, so IRL they could not submit anything. That was my ruling."
P26,2,math33,overfitting,25.2483,N,Y,Y,IDK,Y,IDK,Y,
P26,3,chart12,correct,25.1233,Y,Y,Y,N,Y,N,,Do not have info on whether or not they would submit.
P27,1,chart12,overfitting,25.2633,N,N,Y,N,Y,N,NQ,"Kaia thinks NQ (not quite yet). Build failed I think, so check"
P27,2,math33,control,25.2583,N,N,,N,,,N,
P27,3,lang10,correct,25.3,Y,Y,Y,IDK,Y,IDK,N,
P28,1,lang10,overfitting,11.0333,N,Y,Y,IDK,Y,IDK,N,
P28,2,chart12,correct,9.02,Y,Y,Y,Y,Y,Y,Y,
P28,3,math63,control,25.1933,N,N,,N,,,N,
P29,1,math50,correct,25.21,Y,Y,Y,IDK,Y,IDK,N,
P29,2,math33,overfitting,25.1667,N,N,N,N,Y,N,N,
P29,3,math63,control,20.6667,N,Y,,P,,,IDK,
P30,1,chart12,correct,4.8583,Y,Y,Y,Y,Y,Y,Y,"I've been ruling this as Y, we could extend the definition to be push OR review. "
P30,2,lang10,control,25.195,N,N,,N,,,Y,unsure about whether getting someone else to take a look at it should count as review? There were some that were borderline. See code: submission: before submission: talk to someone
P30,3,math50,overfitting,6.5217,N,Y,Y,Y,Y,Y,NQ,??? which one bro. we gotta go maybe I think
P31,1,chart12,control,5.9083,Y,Y,,Y,,,Y,Elements of both not quite and probably
P31,2,math33,correct,18.9733,Y,Y,Y,Y,Y,Y,Y,
P31,3,math50,overfitting,25.2283,N,N,N,Y,Y,N,NQ,
P32,1,math50,control,25.2233,Y,Y,,P,,,N,"Could be maybe, but their reasoning is correct and their tone/rest of the interview seemed like probably"
P32,2,lang10,overfitting,25.2617,N,N,N,N,Y,N,N,
P32,3,math63,correct,7.5233,Y,Y,N,Y,Y,N,Y,
P33,1,chart12,overfitting,8.875,N,Y,Y,IDK,Y,IDK,Y,
P33,2,lang10,control,25.1933,N,N,,N,,,N,
P33,3,math63,correct,19.6783,Y,Y,Y,Y,Y,Y,Y,
P34,1,math63,overfitting,18.615,Y,Y,N,Y,Y,N,NQ,
P34,2,chart12,correct,9.23,Y,Y,Y,P,Y,Y,N,hrm
P34,3,math33,control,25.1967,N,N,,N,,,N,
P35,1,lang10,correct,21.0133,Y,Y,Y,P,Y,P,Y,
P35,2,math33,overfitting,17.3033,N,Y,Y,Y,Y,Y,Y,
P35,3,math50,control,25.22,N,N,,Y,,,Y,
P36,1,math63,correct,22.985,N,Y,,IDK,N,,N,Did not look at patch. TODO: Might consider this to be null the way it is in the control rows.
P36,2,chart12,control,5.4517,Y,Y,,Y,,,Y,
P36,3,math33,overfitting,25.185,N,N,,N,N,,N,"^^ as above, did not look at patch"
P37,1,chart12,control,19.865,Y,Y,,Y,,,Y,
P37,2,lang10,correct,25.1983,N,N,N,N,Y,IDK,N,
P37,3,math50,overfitting,25.1867,N,Y,Y,IDK,Y,IDK,P,"Depends on how we treat ""talking to another person"""
P1_0,1,math33,control,25.4117,N,N,,Y,,,N,
P1_0,2,math50,correct,21.31,Y,Y,Y,Y,Y,Y,Y,
P1_0,3,math63,overfitting,4.7483,Y,Y,N,Y,Y,N,Y,
P2_0,2,chart12,overfitting,11.1433,Y,Y,N,Y,Y,N,NQ,
P2_0,3,lang10,correct,21.3467,Y,Y,Y,Y,Y,Y,Y,
P3_0,1,chart12,overfitting,3.6167,Y,Y,,P,N,,Y,didn't look at patch
P3_0,2,math50,control,25.2517,N,N,,N,,,N,
P3_0,3,math63,correct,8.5533,Y,Y,N,Y,Y,P,Y,fixes the bug but not high quality
P4_0,1,math63,overfitting,25.4417,N,Y,Y,IDK,Y,IDK,Y,
P4_0,3,lang10,control,25.305,N,N,,N,,,N,
P5_0,1,math63,correct,11.665,Y,Y,Y,Y,Y,Y,N,
P5_0,2,lang10,overfitting,16.7867,N,Y,Y,P,Y,Y,Y,
P5_0,3,math33,control,25.3367,N,N,,N,,,N,
P6_0,1,chart12,correct,6.43,Y,Y,Y,Y,Y,Y,Y,
P6_0,2,lang10,control,25.7500,N,N,,N,,,N,
P6_0,3,math63,overfitting,4.8467,N,Y,N,N,Y,N,N,
